time,cpu,mem,disk
2026-03-19 00:28:33,2,11,9
2026-03-19 00:28:36,2,11,9
2026-03-19 00:28:39,2,11,9
2026-03-19 00:28:42,2,11,9
2026-03-19 00:28:45,3,11,9
2026-03-19 00:28:48,2,11,9
2026-03-19 00:35:02,18,11,9
2026-03-19 00:35:05,17,11,9
2026-03-19 00:35:08,16,11,9
2026-03-19 00:35:26,2,11,9
2026-03-19 00:35:29,2,11,9
2026-03-19 00:35:32,2,11,9
2026-03-19 00:35:35,2,11,9
2026-03-19 00:35:38,1,11,9
2026-03-19 00:35:41,5,11,9
2026-03-19 00:35:44,1,11,9
2026-03-19 00:35:47,2,11,9
2026-03-19 00:35:50,1,11,9
2026-03-19 00:35:53,2,11,9
2026-03-23 00:15:43,0,21,6
2026-03-23 00:15:46,0,21,6
2026-03-23 00:15:49,0,21,6
2026-03-23 00:15:52,0,21,6
2026-03-23 00:15:55,0,21,6
2026-03-23 00:15:58,1,21,6
2026-03-23 00:16:00,1,21,6
2026-03-23 00:16:03,0,21,6
2026-03-23 00:16:06,1,21,6
2026-03-23 00:16:09,0,21,6
2026-03-23 00:16:12,0,21,6
2026-03-23 00:16:15,0,21,6
2026-03-23 00:16:18,0,21,6
2026-03-23 00:16:21,1,21,6
2026-03-23 00:16:23,1,21,6
2026-03-23 00:16:26,1,21,6
2026-03-23 00:16:29,0,21,6
2026-03-23 00:16:32,0,21,6
2026-03-23 00:16:35,1,21,6
2026-03-23 00:16:38,0,21,6
2026-03-23 00:16:41,1,21,6
2026-03-23 00:16:44,0,21,6
2026-03-23 00:16:47,0,21,6
2026-03-23 00:16:49,0,21,6
2026-03-23 00:16:52,1,21,6
2026-03-23 00:16:55,0,21,6
2026-03-23 00:16:58,1,21,6
2026-03-23 00:17:01,2,21,6
2026-03-23 00:17:04,2,21,6
2026-03-23 00:17:07,0,21,6
2026-03-23 00:17:10,0,21,6
2026-03-23 00:17:12,0,21,6
2026-03-23 00:17:15,0,21,6
2026-03-23 00:17:18,0,21,6
2026-03-23 00:17:21,0,21,6
2026-03-23 00:17:24,0,21,6
2026-03-23 00:17:27,0,21,6
2026-03-23 00:17:30,1,21,6
2026-03-23 00:17:33,0,21,6
2026-03-23 00:17:36,0,21,6
2026-03-23 00:17:38,1,21,6
2026-03-23 00:17:41,5,21,6
2026-03-23 00:17:44,0,21,6
2026-03-23 00:17:47,0,21,6
2026-03-23 00:17:50,0,21,6
2026-03-23 00:17:53,0,21,6
2026-03-23 00:17:56,0,21,6
2026-03-23 00:17:59,1,21,6
2026-03-23 00:18:01,0,21,6
2026-03-23 00:18:04,0,21,6
2026-03-23 00:18:07,1,21,6
2026-03-23 00:18:10,0,21,6
2026-03-23 00:18:13,1,21,6
2026-03-23 00:18:16,1,21,6
2026-03-23 00:18:19,2,21,6
2026-03-23 00:18:22,1,21,6
2026-03-23 00:18:25,2,21,6
2026-03-23 00:18:27,0,21,6
2026-03-23 00:18:30,1,21,6
2026-03-23 00:18:33,1,21,6
2026-03-23 00:18:36,0,21,6
2026-03-23 00:18:39,0,21,6
2026-03-23 00:18:42,1,21,6
2026-03-23 00:18:45,0,21,6
2026-03-23 00:18:48,0,21,6
2026-03-23 00:18:50,1,21,6
2026-03-23 00:18:53,2,21,6
