2026-03-19 00:28:33 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:28:36 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:28:39 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:28:42 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:28:45 | CPU:3% | MEM:11% | DISK:9%
2026-03-19 00:28:48 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:35:02 | CPU:18% | MEM:11% | DISK:9%
2026-03-19 00:35:05 | CPU:17% | MEM:11% | DISK:9%
2026-03-19 00:35:08 | CPU:16% | MEM:11% | DISK:9%
2026-03-19 00:35:26 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:35:29 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:35:32 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:35:35 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:35:38 | CPU:1% | MEM:11% | DISK:9%
2026-03-19 00:35:41 | CPU:5% | MEM:11% | DISK:9%
2026-03-19 00:35:44 | CPU:1% | MEM:11% | DISK:9%
2026-03-19 00:35:47 | CPU:2% | MEM:11% | DISK:9%
2026-03-19 00:35:50 | CPU:1% | MEM:11% | DISK:9%
2026-03-19 00:35:53 | CPU:2% | MEM:11% | DISK:9%
2026-03-23 00:15:43 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:15:46 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:15:49 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:15:52 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:15:55 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:15:58 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:16:00 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:16:03 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:06 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:16:09 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:12 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:15 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:18 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:21 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:16:23 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:16:26 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:16:29 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:32 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:35 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:16:38 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:41 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:16:44 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:47 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:49 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:52 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:16:55 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:16:58 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:17:01 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:17:04 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:17:07 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:10 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:12 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:15 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:18 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:21 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:24 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:27 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:30 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:17:33 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:36 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:38 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:17:41 | CPU:5% | MEM:21% | DISK:6%
2026-03-23 00:17:44 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:47 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:50 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:53 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:56 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:17:59 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:18:01 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:18:04 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:18:07 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:18:10 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:18:13 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:18:16 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:18:19 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:18:22 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:18:25 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:18:27 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:18:30 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:18:33 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:18:36 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:18:39 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:18:42 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:18:45 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:18:48 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:18:50 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:18:53 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:18:56 | CPU:4% | MEM:21% | DISK:6%
2026-03-23 00:18:59 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:02 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:05 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:08 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:11 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:19:14 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:19:16 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:19:19 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:22 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:19:25 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:19:28 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:19:31 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:34 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:37 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:19:40 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:42 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:19:45 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:19:48 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:51 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:54 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:19:57 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:20:00 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:20:03 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:20:05 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:20:08 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:20:11 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:20:14 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:20:17 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:20:20 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:20:23 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:20:26 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:20:29 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:20:31 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:20:34 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:20:37 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:20:40 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:20:43 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:20:46 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:20:49 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:20:52 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:20:54 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:20:57 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:00 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:03 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:06 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:09 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:12 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:15 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:18 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:20 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:23 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:26 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:29 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:32 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:35 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:38 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:41 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:43 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:46 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:21:49 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:52 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:55 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:21:58 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:01 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:22:04 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:07 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:09 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:22:12 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:22:15 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:18 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:22:21 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:24 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:22:27 | CPU:6% | MEM:21% | DISK:6%
2026-03-23 00:22:30 | CPU:2% | MEM:21% | DISK:6%
2026-03-23 00:22:32 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:35 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:38 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:41 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:44 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:22:47 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:22:50 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:53 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:22:56 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:22:58 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:23:01 | CPU:4% | MEM:21% | DISK:6%
2026-03-23 00:23:04 | CPU:1% | MEM:21% | DISK:6%
2026-03-23 00:23:07 | CPU:0% | MEM:21% | DISK:6%
2026-03-23 00:23:10 | CPU:0% | MEM:21% | DISK:6%
